"ID";"Nationality";"Periods";"TotalResidencePermitsAsylum_1";"RefugeeStatusBeneficiaryStatus_2";"HumanitarianReasons_3";"TotalOrdinaryResidencePermit_4";"TotalFamilyReunificationFormation_5";"HusbandWife_6";"ChildUnder18_7";"OtherFamilyReunification_8";"Study_9";"TotalLabour_10";"HighlySkilledMigrantBlueCardHolder_11";"Researcher_12";"OtherLabour_13";"VictimOfHumanTrade_14";"OtherOrdinary_15";"SinglePermitGVVA_16"
"311";"NAT9316  ";"2020JJ00";"      10";"      10";"       0";"      70";"      45";"      25";"      10";"      15";"       5";"      20";"       5";"      15";"       0";"       0";"       5";""
"312";"NAT9321  ";"2008JJ00";"       0";"       0";"       0";"     140";"     125";"      45";"      60";"      15";"       0";"       0";"       0";"       0";"       0";"       0";"      15";""
"313";"NAT9321  ";"2009JJ00";"       0";"       0";"       0";"     160";"     135";"      35";"      40";"      60";"      10";"       0";"       0";"       0";"       0";"       0";"      15";""
"314";"NAT9321  ";"2010JJ00";"       0";"       0";"       0";"     125";"     120";"      45";"      35";"      40";"       0";"       0";"       0";"       0";"       0";"       0";"       5";""
"315";"NAT9321  ";"2011JJ00";"       0";"       0";"       0";"     125";"     110";"      45";"      35";"      30";"       5";"       5";"       0";"       0";"       0";"       0";"      10";""
"316";"NAT9321  ";"2012JJ00";"       0";"       0";"       0";"     105";"      95";"      30";"      25";"      40";"       0";"       0";"       0";"       0";"       0";"       0";"       5";""
"317";"NAT9321  ";"2013JJ00";"       0";"       0";"       0";"     140";"     110";"      45";"      55";"      15";"       0";"       5";"       0";"       0";"       0";"       0";"      20";""
"318";"NAT9321  ";"2014JJ00";"       0";"       0";"       0";"     100";"      85";"      40";"      35";"      10";"       0";"       0";"       0";"       0";"       0";"       0";"      15";""
"319";"NAT9321  ";"2015JJ00";"       0";"       0";"       0";"     115";"      60";"      25";"      30";"       5";"       5";"       0";"       0";"       0";"       0";"       0";"      50";""
"320";"NAT9321  ";"2016JJ00";"       0";"       0";"       0";"      90";"      45";"      20";"      15";"      10";"       5";"       0";"       0";"       0";"       0";"       0";"      35";""
"321";"NAT9321  ";"2017JJ00";"       0";"       0";"       0";"     115";"      65";"      30";"      20";"      15";"       5";"      10";"       5";"       0";"       0";"       0";"      40";""
"322";"NAT9321  ";"2018JJ00";"       0";"       0";"       0";"     150";"     100";"      35";"      25";"      40";"       5";"       5";"       5";"       0";"       0";"       0";"      40";""
"323";"NAT9321  ";"2019JJ00";"       0";"       0";"       0";"     175";"     130";"      45";"      35";"      50";"       5";"       5";"       5";"       0";"       0";"       0";"      30";""
"324";"NAT9321  ";"2020JJ00";"       0";"       0";"       0";"     125";"     105";"      25";"      25";"      55";"       5";"       5";"       0";"       0";"       0";"       0";"      15";""
"325";"NAT9323  ";"2008JJ00";"       0";"       0";"       0";"     150";"      95";"      45";"      25";"      25";"      25";"      15";"       5";"       0";"      10";"       0";"      10";""
"326";"NAT9323  ";"2009JJ00";"       0";"       0";"       0";"     125";"      55";"      20";"      10";"      25";"      30";"      25";"       0";"       5";"      15";"       0";"      20";""
"327";"NAT9323  ";"2010JJ00";"       0";"       0";"       0";"     135";"      55";"      25";"      10";"      20";"      40";"      30";"       5";"       5";"      20";"       0";"      10";""
"328";"NAT9323  ";"2011JJ00";"       5";"       0";"       5";"     125";"      45";"      20";"      10";"      15";"      45";"      30";"       5";"       0";"      25";"       0";"      10";""
"329";"NAT9323  ";"2012JJ00";"       0";"       0";"       0";"     125";"      50";"      25";"       5";"      20";"      50";"      20";"       5";"       5";"      10";"       0";"       5";""
"330";"NAT9323  ";"2013JJ00";"       0";"       0";"       0";"     155";"      60";"      25";"      20";"      15";"      55";"      30";"       5";"      10";"      15";"       0";"      10";""
"331";"NAT9323  ";"2014JJ00";"       0";"       0";"       0";"     135";"      40";"      25";"      10";"       5";"      65";"      15";"       5";"      10";"       5";"       0";"      15";""
"332";"NAT9323  ";"2015JJ00";"       0";"       0";"       0";"     165";"      35";"      20";"      10";"       5";"      90";"      20";"       5";"      10";"       5";"       0";"      20";""
"333";"NAT9323  ";"2016JJ00";"       0";"       0";"       0";"     160";"      45";"      35";"      10";"       0";"      70";"      20";"       5";"      10";"      10";"       0";"      25";""
"334";"NAT9323  ";"2017JJ00";"       0";"       0";"       0";"     195";"      35";"      15";"      10";"      10";"     120";"      20";"       5";"      10";"       5";"       0";"      20";""
"335";"NAT9323  ";"2018JJ00";"       0";"       0";"       0";"     200";"      35";"      20";"       5";"       5";"     110";"      25";"       5";"       5";"      15";"       0";"      35";""
"336";"NAT9323  ";"2019JJ00";"       0";"       0";"       0";"     170";"      50";"      35";"       5";"      15";"      65";"      30";"       5";"      10";"      15";"       0";"      25";""
"337";"NAT9323  ";"2020JJ00";"       0";"       0";"       0";"     115";"      30";"      15";"      10";"       5";"      40";"      20";"       5";"      10";"      10";"       0";"      20";""
"338";"NAT9324  ";"2008JJ00";"       5";"       0";"       0";"     385";"     295";"     180";"      65";"      50";"      25";"      50";"      40";"       5";"       5";"       0";"      20";""
"339";"NAT9324  ";"2009JJ00";"      20";"      15";"       5";"     430";"     355";"     185";"      60";"     110";"      20";"      45";"      20";"      15";"      10";"       0";"      15";""
"340";"NAT9324  ";"2010JJ00";"      10";"       5";"       5";"     425";"     320";"     185";"      45";"      95";"      55";"      40";"      20";"      10";"      15";"       0";"      10";""
"341";"NAT9324  ";"2011JJ00";"       5";"       5";"       0";"     370";"     255";"     135";"      60";"      60";"      30";"      75";"      45";"       5";"      20";"       0";"      10";""
"342";"NAT9324  ";"2012JJ00";"      40";"      25";"      15";"     410";"     275";"     135";"      85";"      55";"      40";"      80";"      45";"      10";"      20";"       5";"      15";""
"343";"NAT9324  ";"2013JJ00";"      50";"      30";"      15";"     550";"     330";"     170";"     145";"      15";"      65";"     115";"      85";"      20";"      15";"       0";"      35";""
"344";"NAT9324  ";"2014JJ00";"      50";"      25";"      25";"     515";"     300";"     155";"     130";"      15";"      50";"      95";"      70";"      15";"      10";"       0";"      70";""
"345";"NAT9324  ";"2015JJ00";"      35";"      30";"       5";"     520";"     220";"     130";"      85";"      10";"      85";"     105";"      75";"      20";"      10";"       0";"     105";""
"346";"NAT9324  ";"2016JJ00";"      25";"      10";"      15";"     705";"     300";"     180";"     105";"      10";"     115";"     170";"     130";"      20";"      15";"       0";"     125";""
"347";"NAT9324  ";"2017JJ00";"      65";"      35";"      30";"     780";"     355";"     195";"     140";"      20";"     135";"     205";"     170";"      20";"      15";"       0";"      90";""
"348";"NAT9324  ";"2018JJ00";"      60";"      35";"      30";"     920";"     425";"     205";"     160";"      55";"     175";"     240";"     200";"      20";"      15";"       0";"      85";""
"349";"NAT9324  ";"2019JJ00";"      30";"      25";"       5";"    1235";"     575";"     235";"     210";"     130";"     225";"     310";"     230";"      35";"      45";"       0";"     125";""
"350";"NAT9324  ";"2020JJ00";"      80";"      45";"      35";"     840";"     425";"     175";"     180";"      70";"     175";"     170";"     130";"      20";"      25";"       0";"      65";""
"351";"NAT9326  ";"2008JJ00";"     160";"       0";"       0";"      50";"      10";"       5";"       5";"       0";"      20";"       0";"       0";"       0";"       0";"       0";"      20";""
"352";"NAT9326  ";"2009JJ00";"     245";"     215";"      30";"      35";"      10";"       5";"       5";"       0";"      20";"       5";"       0";"       5";"       0";"       0";"       5";""
"353";"NAT9326  ";"2010JJ00";"     315";"     270";"      45";"      40";"      15";"      10";"       5";"       0";"      20";"       5";"       0";"       0";"       0";"       0";"       0";""
"354";"NAT9326  ";"2011JJ00";"     480";"     425";"      55";"      35";"      15";"      10";"       5";"       0";"      20";"       0";"       0";"       0";"       0";"       0";"       0";""
"355";"NAT9326  ";"2012JJ00";"     280";"     255";"      25";"      30";"      10";"       0";"       5";"       0";"      15";"       0";"       0";"       0";"       0";"       0";"       0";""
"356";"NAT9326  ";"2013JJ00";"     715";"     575";"     140";"      30";"      10";"       5";"       5";"       0";"      15";"       0";"       0";"       0";"       0";"       0";"       5";""
"357";"NAT9326  ";"2014JJ00";"    3745";"    3475";"     265";"      45";"      30";"       5";"      20";"       5";"      15";"       0";"       0";"       0";"       0";"       0";"       0";""
"358";"NAT9326  ";"2015JJ00";"    5945";"    4905";"    1040";"     185";"     170";"      10";"      85";"      75";"      10";"       0";"       0";"       0";"       0";"       0";"       5";""
"359";"NAT9326  ";"2016JJ00";"    4625";"    3300";"    1325";"     595";"     585";"      10";"     440";"     140";"      10";"       0";"       0";"       0";"       0";"       0";"       0";""
"360";"NAT9326  ";"2017JJ00";"    4430";"    1530";"    2900";"    1135";"    1120";"       5";"     715";"     400";"       5";"       5";"       0";"       0";"       0";"       0";"       5";""
"361";"NAT9326  ";"2018JJ00";"    3135";"     535";"    2600";"    1925";"    1915";"       5";"    1115";"     795";"       5";"       0";"       0";"       0";"       0";"       5";"       5";""
"362";"NAT9326  ";"2019JJ00";"    2430";"     610";"    1820";"    2050";"    2000";"      10";"    1310";"     680";"       5";"       0";"       0";"       0";"       0";"       0";"      45";""
"363";"NAT9326  ";"2020JJ00";"    1605";"     495";"    1110";"    1475";"    1465";"      15";"    1075";"     370";"       5";"       5";"       0";"       0";"       0";"       0";"       5";""
"364";"NAT9328  ";"2008JJ00";"     100";"       0";"       0";"     370";"     100";"      25";"      70";"       5";"     170";"      25";"       5";"      10";"       5";"       0";"      75";""
"365";"NAT9328  ";"2009JJ00";"      80";"      35";"      40";"     355";"      90";"      25";"      55";"       5";"     205";"      40";"       5";"      30";"       5";"       0";"      20";""
"366";"NAT9328  ";"2010JJ00";"      30";"      25";"      10";"     290";"      65";"      25";"      35";"       5";"     175";"      45";"       0";"      35";"       5";"       0";"      10";""
"367";"NAT9328  ";"2011JJ00";"     135";"      75";"      55";"     245";"      60";"      20";"      35";"       5";"     140";"      40";"       0";"      35";"       5";"       0";"       0";""
"368";"NAT9328  ";"2012JJ00";"      30";"      20";"       5";"     270";"      50";"      20";"      30";"       0";"     165";"      45";"       5";"      35";"       5";"       0";"       5";""
"369";"NAT9328  ";"2013JJ00";"      55";"      30";"      25";"     270";"      75";"      30";"      45";"       5";"     140";"      50";"       0";"      40";"       5";"       0";"       5";""
"370";"NAT9328  ";"2014JJ00";"      85";"      35";"      50";"     165";"      45";"      25";"      15";"       5";"      85";"      35";"       5";"      30";"       5";"       0";"       0";""
"371";"NAT9328  ";"2015JJ00";"      70";"      35";"      35";"     240";"      70";"      20";"      40";"      10";"     105";"      55";"       5";"      45";"       5";"       0";"      10";""
"372";"NAT9328  ";"2016JJ00";"     130";"      75";"      55";"     235";"      80";"      40";"      40";"       5";"     100";"      55";"       5";"      40";"       5";"       0";"       5";""
"373";"NAT9328  ";"2017JJ00";"     110";"      60";"      50";"     175";"      75";"      20";"      45";"      10";"      55";"      40";"       5";"      30";"       0";"       0";"       5";""
"374";"NAT9328  ";"2018JJ00";"     115";"      40";"      75";"     185";"      90";"      30";"      35";"      25";"      45";"      45";"       5";"      40";"       0";"       0";"       5";""
"375";"NAT9328  ";"2019JJ00";"      45";"      10";"      30";"     240";"     120";"      40";"      55";"      25";"      50";"      40";"       0";"      35";"      10";"       0";"      30";""
"376";"NAT9328  ";"2020JJ00";"      25";"      10";"      15";"     190";"     100";"      20";"      50";"      25";"      60";"      25";"       5";"      15";"       5";"       0";"       5";""
"377";"NAT9330  ";"2008JJ00";"       0";"       0";"       0";"    1275";"     430";"     265";"     125";"      35";"      50";"     720";"      95";"       0";"     620";"       0";"      80";""
"378";"NAT9330  ";"2009JJ00";"       0";"       0";"       0";"    1190";"     430";"     280";"     120";"      30";"      50";"     675";"      40";"       5";"     630";"       0";"      40";""
"379";"NAT9330  ";"2010JJ00";"       0";"       0";"       0";"    1070";"     405";"     255";"     120";"      30";"      45";"     605";"      40";"       5";"     555";"       0";"      20";""
"380";"NAT9330  ";"2011JJ00";"       0";"       0";"       0";"     910";"     415";"     280";"     100";"      35";"      35";"     440";"      35";"      10";"     400";"       0";"      20";""
"381";"NAT9330  ";"2012JJ00";"       0";"       0";"       0";"     880";"     355";"     220";"     100";"      40";"      35";"     450";"      75";"      10";"     370";"      10";"      25";""
"382";"NAT9330  ";"2013JJ00";"       0";"       0";"       0";"    1170";"     515";"     330";"     165";"      20";"      50";"     575";"      70";"      15";"     490";"       5";"      30";""
"383";"NAT9330  ";"2014JJ00";"       0";"       0";"       0";"    1055";"     450";"     315";"     130";"       5";"      60";"     450";"      60";"       5";"     385";"      55";"      35";""
"384";"NAT9330  ";"2015JJ00";"       5";"       0";"       5";"     960";"     445";"     305";"     130";"      10";"      55";"     420";"      85";"      10";"     325";"       0";"      35";""
"385";"NAT9330  ";"2016JJ00";"       5";"       0";"       5";"    1085";"     460";"     335";"     110";"      15";"     100";"     460";"      65";"      10";"     385";"       5";"      65";""
"386";"NAT9330  ";"2017JJ00";"       5";"       0";"       5";"    1220";"     575";"     375";"     175";"      25";"      95";"     495";"      95";"       5";"     390";"       5";"      55";""
"387";"NAT9330  ";"2018JJ00";"       5";"       0";"       5";"    1370";"     610";"     390";"     150";"      65";"     105";"     555";"      90";"      10";"     455";"      15";"      90";""
"388";"NAT9330  ";"2019JJ00";"       5";"       0";"       5";"    1525";"     680";"     410";"     160";"     115";"      80";"     210";"     170";"      10";"      35";"       0";"     555";""
"389";"NAT9330  ";"2020JJ00";"       0";"       0";"       0";"    1225";"     560";"     335";"     150";"      80";"      70";"     100";"      55";"      10";"      30";"       0";"     495";""
"390";"NAT9334  ";"2008JJ00";"       5";"       0";"       0";"      55";"      45";"      30";"       5";"       5";"       5";"       0";"       0";"       0";"       0";"       0";"       5";""
"391";"NAT9334  ";"2009JJ00";"       0";"       0";"       0";"      35";"      35";"      20";"      10";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"       0";""
"392";"NAT9334  ";"2010JJ00";"       5";"       5";"       0";"      60";"      55";"      35";"      15";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"       5";""
"393";"NAT9334  ";"2011JJ00";"       5";"       5";"       0";"      65";"      50";"      30";"      15";"       0";"       5";"       0";"       0";"       0";"       0";"       5";"       5";""
"394";"NAT9334  ";"2012JJ00";"       0";"       0";"       0";"      20";"      20";"      10";"       5";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"       0";""
"395";"NAT9334  ";"2013JJ00";"       5";"       5";"       0";"      50";"      40";"      25";"      10";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"       5";""
"396";"NAT9334  ";"2014JJ00";"      10";"      10";"       0";"      55";"      50";"      35";"      10";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"       5";""
"397";"NAT9334  ";"2015JJ00";"      15";"      10";"       5";"      65";"      45";"      25";"      15";"       5";"      10";"       0";"       0";"       0";"       0";"       0";"       5";""
"398";"NAT9334  ";"2016JJ00";"       5";"       5";"       0";"      70";"      60";"      50";"      10";"       5";"       5";"       0";"       0";"       0";"       0";"       0";"       5";""
"399";"NAT9334  ";"2017JJ00";"      10";"      10";"       0";"      80";"      70";"      35";"      25";"      10";"       5";"       0";"       0";"       0";"       0";"       0";"      10";""
"400";"NAT9334  ";"2018JJ00";"      10";"       5";"       5";"     110";"      90";"      55";"      25";"       5";"       5";"       0";"       0";"       0";"       0";"      10";"       5";""
"401";"NAT9334  ";"2019JJ00";"      10";"      10";"       0";"     130";"     105";"      55";"      25";"      20";"       0";"       0";"       0";"       0";"       0";"      15";"       5";""
"402";"NAT9334  ";"2020JJ00";"      10";"      10";"       0";"     105";"      80";"      40";"      20";"      20";"       5";"       5";"       0";"       0";"       5";"       5";"      15";""
"403";"NAT9335  ";"2008JJ00";"       5";"       0";"       0";"     160";"      30";"      15";"       5";"      10";"      45";"      15";"      10";"       0";"       5";"       0";"      70";""
"404";"NAT9335  ";"2009JJ00";"       5";"       0";"       5";"     150";"      55";"      30";"      15";"      10";"      65";"      10";"       0";"       0";"      10";"       0";"      20";""
"405";"NAT9335  ";"2010JJ00";"       5";"       0";"       5";"     105";"      35";"      15";"       5";"      15";"      50";"      10";"       0";"       0";"      10";"       0";"      10";""
"406";"NAT9335  ";"2011JJ00";"       5";"       5";"       0";"      80";"      35";"      15";"      10";"      10";"      30";"      10";"       5";"       0";"       5";"       0";"       5";""
"407";"NAT9335  ";"2012JJ00";"       5";"       0";"       0";"      90";"      45";"      20";"      15";"      10";"      35";"       5";"       0";"       0";"       0";"       0";"       5";""
"408";"NAT9335  ";"2013JJ00";"      10";"       0";"      10";"     130";"      55";"      20";"      25";"      10";"      45";"      15";"       5";"       0";"       5";"       0";"      20";""
"409";"NAT9335  ";"2014JJ00";"       5";"       5";"       0";"     105";"      30";"      15";"      10";"       5";"      40";"      15";"      10";"       5";"       5";"       0";"      15";""
"410";"NAT9335  ";"2015JJ00";"       0";"       0";"       0";"     100";"      20";"      10";"      10";"       5";"      50";"      10";"       5";"       0";"       0";"       0";"      20";""
"411";"NAT9335  ";"2016JJ00";"       5";"       5";"       0";"     140";"      40";"      25";"      15";"       5";"      55";"      10";"       5";"       5";"       0";"       0";"      30";""
"412";"NAT9335  ";"2017JJ00";"       5";"       5";"       0";"     155";"      35";"      20";"      10";"       5";"      70";"      20";"      15";"       0";"       5";"       0";"      30";""
"413";"NAT9335  ";"2018JJ00";"       0";"       0";"       0";"     165";"      45";"      30";"       5";"      10";"      70";"      15";"      15";"       0";"       0";"       0";"      35";""
"414";"NAT9335  ";"2019JJ00";"       0";"       0";"       0";"     200";"      50";"      25";"      10";"      10";"      90";"      25";"      15";"       5";"       5";"       0";"      40";""
"415";"NAT9335  ";"2020JJ00";"       5";"       5";"       0";"     125";"      30";"      10";"      15";"      10";"      55";"      20";"      10";"       5";"       0";"       0";"      25";""
"416";"NAT9336  ";"2008JJ00";"       0";"       0";"       0";"     820";"     565";"     210";"     230";"     125";"     105";"      25";"       0";"      10";"      10";"       0";"     125";""
"417";"NAT9336  ";"2009JJ00";"       0";"       0";"       0";"     795";"     570";"     160";"     210";"     200";"     105";"      35";"       5";"      20";"      10";"       0";"      90";""
"418";"NAT9336  ";"2010JJ00";"       0";"       0";"       0";"     710";"     525";"     175";"     195";"     150";"     100";"      30";"       5";"      15";"      10";"       0";"      55";""
"419";"NAT9336  ";"2011JJ00";"       0";"       0";"       0";"     690";"     555";"     270";"     165";"     115";"      75";"      30";"       5";"      10";"      10";"      10";"      25";""
"420";"NAT9336  ";"2012JJ00";"       0";"       0";"       0";"     580";"     445";"     150";"     150";"     145";"      85";"      25";"       0";"      15";"       5";"      15";"      10";""
"421";"NAT9336  ";"2013JJ00";"       0";"       0";"       0";"     680";"     450";"     190";"     210";"      50";"      85";"      35";"       5";"      25";"       5";"      10";"     100";""
"422";"NAT9336  ";"2014JJ00";"       0";"       0";"       0";"     530";"     380";"     150";"     205";"      25";"      60";"      25";"       0";"      20";"       5";"       0";"      60";""
"423";"NAT9336  ";"2015JJ00";"       5";"       5";"       0";"     585";"     325";"     120";"     185";"      20";"      80";"      35";"       5";"      25";"      10";"       5";"     145";""
"424";"NAT9336  ";"2016JJ00";"       5";"       5";"       0";"     575";"     295";"     140";"     140";"      15";"     125";"      20";"       5";"      10";"       5";"       5";"     130";""
"425";"NAT9336  ";"2017JJ00";"       0";"       0";"       0";"     600";"     365";"     150";"     150";"      65";"     105";"      35";"       0";"      25";"       5";"       0";"     100";""
"426";"NAT9336  ";"2018JJ00";"      10";"       0";"       5";"     645";"     430";"     170";"     140";"     115";"      90";"      40";"       5";"      25";"      10";"       0";"      90";""
"427";"NAT9336  ";"2019JJ00";"       5";"       5";"       0";"     755";"     480";"     140";"     180";"     155";"     120";"      60";"       5";"      20";"      35";"      10";"      85";""
"428";"NAT9336  ";"2020JJ00";"       0";"       0";"       0";"     510";"     355";"     125";"     145";"      85";"      75";"      35";"      10";"       5";"      15";"       0";"      45";""
"429";"NAT9341  ";"2008JJ00";"     125";"       0";"       0";"     315";"      25";"      15";"       0";"      10";"       0";"       0";"       0";"       0";"       0";"       0";"     285";""
"430";"NAT9341  ";"2009JJ00";"     105";"      80";"      20";"     125";"      40";"      15";"      10";"      15";"       0";"       0";"       0";"       0";"       0";"       0";"      90";""
"431";"NAT9341  ";"2010JJ00";"     125";"      90";"      35";"      50";"      15";"       5";"       5";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"      35";""
"432";"NAT9341  ";"2011JJ00";"     100";"      85";"      15";"      75";"      25";"       5";"       5";"      10";"       0";"       0";"       0";"       0";"       0";"      40";"      10";""
"433";"NAT9341  ";"2012JJ00";"      85";"      60";"      25";"      70";"      30";"       5";"      20";"       5";"       0";"       0";"       0";"       0";"       0";"      35";"       5";""
"434";"NAT9341  ";"2013JJ00";"      65";"      40";"      25";"      80";"      40";"      10";"      25";"       5";"       0";"       0";"       0";"       0";"       0";"      20";"      15";""
"435";"NAT9341  ";"2014JJ00";"      85";"      60";"      25";"      65";"      35";"       5";"      20";"      10";"       0";"       0";"       0";"       0";"       0";"      15";"      10";""
"436";"NAT9341  ";"2015JJ00";"      65";"      30";"      30";"      50";"      30";"       5";"      20";"      10";"       0";"       0";"       0";"       0";"       0";"       5";"      10";""
"437";"NAT9341  ";"2016JJ00";"      40";"      35";"       5";"      70";"      45";"       5";"      25";"      15";"       0";"       0";"       0";"       0";"       0";"      10";"      15";""
"438";"NAT9341  ";"2017JJ00";"      35";"      25";"      10";"      80";"      55";"      10";"      20";"      20";"       0";"       0";"       0";"       0";"       0";"      10";"      10";""
"439";"NAT9341  ";"2018JJ00";"      35";"      20";"      15";"      95";"      65";"      10";"      25";"      35";"       0";"       0";"       0";"       0";"       0";"      10";"      15";""
"440";"NAT9341  ";"2019JJ00";"      25";"      20";"      10";"     100";"      80";"       5";"      40";"      30";"       0";"       0";"       0";"       0";"       0";"      15";"      10";""
"441";"NAT9341  ";"2020JJ00";"      35";"      30";"       5";"      75";"      55";"       5";"      25";"      25";"       0";"       0";"       0";"       0";"       0";"      10";"      10";""
"442";"NAT9343  ";"2008JJ00";"       0";"       0";"       0";"      90";"      85";"       0";"      85";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";""
"443";"NAT9343  ";"2009JJ00";"       0";"       0";"       0";"      60";"      55";"       0";"      55";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";""
"444";"NAT9343  ";"2010JJ00";"       0";"       0";"       0";"     135";"      80";"       0";"      75";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"      50";""
"445";"NAT9343  ";"2011JJ00";"       0";"       0";"       0";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";""
"446";"NAT9343  ";"2012JJ00";"       0";"       0";"       0";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";""
"447";"NAT9343  ";"2013JJ00";"       0";"       0";"       0";"      15";"      15";"       0";"      15";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";""
"448";"NAT9343  ";"2014JJ00";"       0";"       0";"       0";"      20";"      15";"       0";"      10";"       0";"       5";"       0";"       0";"       0";"       0";"       0";"       0";""
"449";"NAT9343  ";"2015JJ00";"       0";"       0";"       0";"      10";"       5";"       0";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";""
"450";"NAT9343  ";"2016JJ00";"       0";"       0";"       0";"      10";"       5";"       0";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";""
"451";"NAT9343  ";"2017JJ00";"       0";"       0";"       0";"      15";"      15";"       0";"      15";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";""
"452";"NAT9343  ";"2018JJ00";"       0";"       0";"       0";"       5";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";""
"453";"NAT9343  ";"2019JJ00";"       0";"       0";"       0";"      20";"      10";"       0";"       5";"       5";"       5";"       0";"       0";"       0";"       0";"       0";"       5";""
"454";"NAT9343  ";"2020JJ00";"       0";"       0";"       0";"      20";"      15";"       5";"       5";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"       0";""
"455";"NAT9348  ";"2008JJ00";"       0";"       0";"       0";"    3815";"    1165";"     695";"     420";"      50";"     315";"    2260";"    2115";"      30";"     110";"       0";"      70";""
"456";"NAT9348  ";"2009JJ00";"       0";"       0";"       0";"    3575";"    1365";"     805";"     480";"      75";"     380";"    1790";"    1585";"      70";"     135";"       0";"      45";""
"457";"NAT9348  ";"2010JJ00";"       0";"       0";"       0";"    3870";"    1340";"     800";"     485";"      55";"     440";"    2065";"    1900";"      85";"      80";"       0";"      25";""
"458";"NAT9348  ";"2011JJ00";"       0";"       0";"       0";"    4310";"    1650";"     995";"     610";"      50";"     445";"    2190";"    2020";"      75";"     100";"       0";"      20";""
"459";"NAT9348  ";"2012JJ00";"       0";"       0";"       0";"    4285";"    1730";"     960";"     700";"      70";"     450";"    2080";"    1870";"      70";"     140";"       5";"      15";""
"460";"NAT9348  ";"2013JJ00";"       0";"       0";"       0";"    6120";"    2450";"    1375";"    1050";"      25";"     685";"    2940";"    2675";"     115";"     150";"      15";"      30";""
"461";"NAT9348  ";"2014JJ00";"       0";"       0";"       0";"    6195";"    2355";"    1280";"    1065";"      15";"     790";"    3000";"    2790";"     170";"      40";"       5";"      45";""
"462";"NAT9348  ";"2015JJ00";"       0";"       0";"       0";"    6955";"    2615";"    1460";"    1145";"      10";"    1095";"    3185";"    2995";"     140";"      55";"      10";"      55";""
"463";"NAT9348  ";"2016JJ00";"       0";"       0";"       0";"    8105";"    3175";"    1775";"    1390";"      10";"     995";"    3860";"    3615";"     170";"      70";"       0";"      75";""
"464";"NAT9348  ";"2017JJ00";"       0";"       0";"       0";"   10130";"    3840";"    2055";"    1760";"      25";"    1475";"    4730";"    4475";"     160";"      95";"       5";"      75";""
"465";"NAT9348  ";"2018JJ00";"       0";"       0";"       0";"   12085";"    4395";"    2395";"    1965";"      40";"    1770";"    5810";"    5410";"     240";"     160";"       5";"     100";""
"466";"NAT9348  ";"2019JJ00";"       0";"       0";"       0";"   13925";"    5815";"    3085";"    2670";"      55";"    1950";"    6040";"    5495";"     230";"     315";"       5";"     120";""
"467";"NAT9348  ";"2020JJ00";"       0";"       0";"       0";"    7635";"    3375";"    1675";"    1670";"      35";"    1285";"    2900";"    2445";"     205";"     255";"       0";"      75";""
"468";"NAT9349  ";"2008JJ00";"       0";"       0";"       0";"    1435";"     490";"     335";"     125";"      25";"     535";"     370";"      75";"      55";"     240";"       0";"      45";""
"469";"NAT9349  ";"2009JJ00";"       0";"       0";"       0";"    1290";"     450";"     290";"     140";"      20";"     540";"     270";"      45";"      75";"     150";"       0";"      35";""
"470";"NAT9349  ";"2010JJ00";"       0";"       0";"       0";"    1340";"     490";"     335";"     130";"      25";"     615";"     210";"      35";"      85";"      90";"       0";"      25";""
"471";"NAT9349  ";"2011JJ00";"       0";"       0";"       0";"    1400";"     525";"     370";"     130";"      25";"     640";"     210";"      40";"      95";"      75";"       0";"      20";""
"472";"NAT9349  ";"2012JJ00";"       0";"       0";"       0";"    1245";"     440";"     315";"     100";"      30";"     580";"     195";"      25";"      95";"      70";"       5";"      25";""
"473";"NAT9349  ";"2013JJ00";"       0";"       0";"       0";"    1625";"     570";"     335";"     215";"      20";"     740";"     275";"      50";"     150";"      70";"       5";"      35";""
"474";"NAT9349  ";"2014JJ00";"       0";"       0";"       0";"    1500";"     510";"     325";"     180";"       5";"     780";"     190";"      35";"      95";"      60";"      10";"      15";""
"475";"NAT9349  ";"2015JJ00";"       0";"       0";"       0";"    1700";"     530";"     320";"     205";"       5";"     905";"     220";"      30";"     145";"      45";"       0";"      40";""
"476";"NAT9349  ";"2016JJ00";"       0";"       0";"       0";"    1945";"     610";"     350";"     250";"      10";"    1085";"     205";"      25";"     135";"      45";"       0";"      45";""
