Nationality;Periods;TotalResidencePermitsAsylum_1;RefugeeStatusBeneficiaryStatus_2;HumanitarianReasons_3;TotalOrdinaryResidencePermit_4;TotalFamilyReunificationFormation_5;HusbandWife_6;ChildUnder18_7;OtherFamilyReunification_8;Study_9;TotalLabour_10;HighlySkilledMigrantBlueCardHolder_11;Researcher_12;OtherLabour_13;VictimOfHumanTrade_14;OtherOrdinary_15;SinglePermitGVVA_16
NAT9315  ;2010JJ00;0;0;0;55;15;10;5;0;25;5;5;0;5;0;5;
NAT9315  ;2011JJ00;0;0;0;50;15;10;0;5;20;10;5;0;5;0;0;
NAT9315  ;2012JJ00;0;0;0;60;15;10;0;5;25;15;5;0;10;0;5;
NAT9315  ;2013JJ00;0;0;0;55;15;10;0;0;15;25;5;10;10;0;5;
NAT9315  ;2014JJ00;0;0;0;70;25;20;5;0;25;20;5;5;10;0;0;
NAT9315  ;2015JJ00;0;0;0;65;15;10;0;0;30;15;5;5;5;0;5;
NAT9315  ;2016JJ00;0;0;0;55;10;5;5;0;25;15;10;5;0;0;5;
NAT9315  ;2017JJ00;0;0;0;65;25;15;10;5;25;10;5;5;0;0;5;
NAT9315  ;2018JJ00;0;0;0;105;30;15;10;0;30;40;25;10;0;0;5;
NAT9315  ;2019JJ00;0;0;0;125;45;25;10;10;25;45;35;5;5;0;15;
NAT9315  ;2020JJ00;0;0;0;85;40;25;5;5;20;20;15;5;0;0;5;
NAT9316  ;2008JJ00;0;0;0;80;65;30;20;15;0;5;0;0;0;0;10;
NAT9316  ;2009JJ00;0;0;0;65;55;30;10;15;0;5;0;0;0;0;5;
NAT9316  ;2010JJ00;5;5;0;75;55;40;10;10;5;5;0;0;5;0;5;
NAT9316  ;2011JJ00;0;0;0;60;45;25;10;10;0;10;0;0;10;0;5;
NAT9316  ;2012JJ00;0;0;0;40;35;20;5;10;0;0;0;0;0;0;0;
NAT9316  ;2013JJ00;0;0;0;60;50;25;15;5;5;0;0;0;0;0;10;
NAT9316  ;2014JJ00;0;0;0;40;25;20;5;0;5;5;5;0;0;0;5;
NAT9316  ;2015JJ00;5;0;0;50;30;25;5;0;5;5;0;5;0;0;5;
NAT9316  ;2016JJ00;0;0;0;45;25;20;5;0;5;5;0;5;0;0;10;
NAT9316  ;2017JJ00;0;0;0;50;25;20;5;0;5;10;5;5;0;0;10;
NAT9316  ;2018JJ00;10;10;0;60;35;25;5;5;5;10;0;0;5;0;10;
NAT9316  ;2019JJ00;20;15;0;90;50;30;10;10;5;20;10;10;0;0;20;
NAT9316  ;2020JJ00;10;10;0;70;45;25;10;15;5;20;5;15;0;0;5;
NAT9321  ;2008JJ00;0;0;0;140;125;45;60;15;0;0;0;0;0;0;15;
NAT9321  ;2009JJ00;0;0;0;160;135;35;40;60;10;0;0;0;0;0;15;
NAT9321  ;2010JJ00;0;0;0;125;120;45;35;40;0;0;0;0;0;0;5;
NAT9321  ;2011JJ00;0;0;0;125;110;45;35;30;5;5;0;0;0;0;10;
NAT9321  ;2012JJ00;0;0;0;105;95;30;25;40;0;0;0;0;0;0;5;
NAT9321  ;2013JJ00;0;0;0;140;110;45;55;15;0;5;0;0;0;0;20;
NAT9321  ;2014JJ00;0;0;0;100;85;40;35;10;0;0;0;0;0;0;15;
NAT9321  ;2015JJ00;0;0;0;115;60;25;30;5;5;0;0;0;0;0;50;
NAT9321  ;2016JJ00;0;0;0;90;45;20;15;10;5;0;0;0;0;0;35;
NAT9321  ;2017JJ00;0;0;0;115;65;30;20;15;5;10;5;0;0;0;40;
NAT9321  ;2018JJ00;0;0;0;150;100;35;25;40;5;5;5;0;0;0;40;
NAT9321  ;2019JJ00;0;0;0;175;130;45;35;50;5;5;5;0;0;0;30;
NAT9321  ;2020JJ00;0;0;0;125;105;25;25;55;5;5;0;0;0;0;15;
NAT9323  ;2008JJ00;0;0;0;150;95;45;25;25;25;15;5;0;10;0;10;
NAT9323  ;2009JJ00;0;0;0;125;55;20;10;25;30;25;0;5;15;0;20;
NAT9323  ;2010JJ00;0;0;0;135;55;25;10;20;40;30;5;5;20;0;10;
NAT9323  ;2011JJ00;5;0;5;125;45;20;10;15;45;30;5;0;25;0;10;
NAT9323  ;2012JJ00;0;0;0;125;50;25;5;20;50;20;5;5;10;0;5;
NAT9323  ;2013JJ00;0;0;0;155;60;25;20;15;55;30;5;10;15;0;10;
NAT9323  ;2014JJ00;0;0;0;135;40;25;10;5;65;15;5;10;5;0;15;
NAT9323  ;2015JJ00;0;0;0;165;35;20;10;5;90;20;5;10;5;0;20;
NAT9323  ;2016JJ00;0;0;0;160;45;35;10;0;70;20;5;10;10;0;25;
NAT9323  ;2017JJ00;0;0;0;195;35;15;10;10;120;20;5;10;5;0;20;
NAT9323  ;2018JJ00;0;0;0;200;35;20;5;5;110;25;5;5;15;0;35;
NAT9323  ;2019JJ00;0;0;0;170;50;35;5;15;65;30;5;10;15;0;25;
NAT9323  ;2020JJ00;0;0;0;115;30;15;10;5;40;20;5;10;10;0;20;
NAT9324  ;2008JJ00;5;0;0;385;295;180;65;50;25;50;40;5;5;0;20;
NAT9324  ;2009JJ00;20;15;5;430;355;185;60;110;20;45;20;15;10;0;15;
NAT9324  ;2010JJ00;10;5;5;425;320;185;45;95;55;40;20;10;15;0;10;
NAT9324  ;2011JJ00;5;5;0;370;255;135;60;60;30;75;45;5;20;0;10;
NAT9324  ;2012JJ00;40;25;15;410;275;135;85;55;40;80;45;10;20;5;15;
NAT9324  ;2013JJ00;50;30;15;550;330;170;145;15;65;115;85;20;15;0;35;
NAT9324  ;2014JJ00;50;25;25;515;300;155;130;15;50;95;70;15;10;0;70;
NAT9324  ;2015JJ00;35;30;5;520;220;130;85;10;85;105;75;20;10;0;105;
NAT9324  ;2016JJ00;25;10;15;705;300;180;105;10;115;170;130;20;15;0;125;
NAT9324  ;2017JJ00;65;35;30;780;355;195;140;20;135;205;170;20;15;0;90;
NAT9324  ;2018JJ00;60;35;30;920;425;205;160;55;175;240;200;20;15;0;85;
NAT9324  ;2019JJ00;30;25;5;1235;575;235;210;130;225;310;230;35;45;0;125;
NAT9324  ;2020JJ00;80;45;35;840;425;175;180;70;175;170;130;20;25;0;65;
NAT9326  ;2008JJ00;160;0;0;50;10;5;5;0;20;0;0;0;0;0;20;
NAT9326  ;2009JJ00;245;215;30;35;10;5;5;0;20;5;0;5;0;0;5;
NAT9326  ;2010JJ00;315;270;45;40;15;10;5;0;20;5;0;0;0;0;0;
NAT9326  ;2011JJ00;480;425;55;35;15;10;5;0;20;0;0;0;0;0;0;
NAT9326  ;2012JJ00;280;255;25;30;10;0;5;0;15;0;0;0;0;0;0;
NAT9326  ;2013JJ00;715;575;140;30;10;5;5;0;15;0;0;0;0;0;5;
NAT9326  ;2014JJ00;3745;3475;265;45;30;5;20;5;15;0;0;0;0;0;0;
NAT9326  ;2015JJ00;5945;4905;1040;185;170;10;85;75;10;0;0;0;0;0;5;
NAT9326  ;2016JJ00;4625;3300;1325;595;585;10;440;140;10;0;0;0;0;0;0;
NAT9326  ;2017JJ00;4430;1530;2900;1135;1120;5;715;400;5;5;0;0;0;0;5;
NAT9326  ;2018JJ00;3135;535;2600;1925;1915;5;1115;795;5;0;0;0;0;5;5;
NAT9326  ;2019JJ00;2430;610;1820;2050;2000;10;1310;680;5;0;0;0;0;0;45;
NAT9326  ;2020JJ00;1605;495;1110;1475;1465;15;1075;370;5;5;0;0;0;0;5;
NAT9328  ;2008JJ00;100;0;0;370;100;25;70;5;170;25;5;10;5;0;75;
NAT9328  ;2009JJ00;80;35;40;355;90;25;55;5;205;40;5;30;5;0;20;
NAT9328  ;2010JJ00;30;25;10;290;65;25;35;5;175;45;0;35;5;0;10;
NAT9328  ;2011JJ00;135;75;55;245;60;20;35;5;140;40;0;35;5;0;0;
NAT9328  ;2012JJ00;30;20;5;270;50;20;30;0;165;45;5;35;5;0;5;
NAT9328  ;2013JJ00;55;30;25;270;75;30;45;5;140;50;0;40;5;0;5;
NAT9328  ;2014JJ00;85;35;50;165;45;25;15;5;85;35;5;30;5;0;0;
NAT9328  ;2015JJ00;70;35;35;240;70;20;40;10;105;55;5;45;5;0;10;
NAT9328  ;2016JJ00;130;75;55;235;80;40;40;5;100;55;5;40;5;0;5;
NAT9328  ;2017JJ00;110;60;50;175;75;20;45;10;55;40;5;30;0;0;5;
NAT9328  ;2018JJ00;115;40;75;185;90;30;35;25;45;45;5;40;0;0;5;
NAT9328  ;2019JJ00;45;10;30;240;120;40;55;25;50;40;0;35;10;0;30;
NAT9328  ;2020JJ00;25;10;15;190;100;20;50;25;60;25;5;15;5;0;5;
NAT9330  ;2008JJ00;0;0;0;1275;430;265;125;35;50;720;95;0;620;0;80;
NAT9330  ;2009JJ00;0;0;0;1190;430;280;120;30;50;675;40;5;630;0;40;
NAT9330  ;2010JJ00;0;0;0;1070;405;255;120;30;45;605;40;5;555;0;20;
NAT9330  ;2011JJ00;0;0;0;910;415;280;100;35;35;440;35;10;400;0;20;
NAT9330  ;2012JJ00;0;0;0;880;355;220;100;40;35;450;75;10;370;10;25;
NAT9330  ;2013JJ00;0;0;0;1170;515;330;165;20;50;575;70;15;490;5;30;
NAT9330  ;2014JJ00;0;0;0;1055;450;315;130;5;60;450;60;5;385;55;35;
NAT9330  ;2015JJ00;5;0;5;960;445;305;130;10;55;420;85;10;325;0;35;
NAT9330  ;2016JJ00;5;0;5;1085;460;335;110;15;100;460;65;10;385;5;65;
NAT9330  ;2017JJ00;5;0;5;1220;575;375;175;25;95;495;95;5;390;5;55;
NAT9330  ;2018JJ00;5;0;5;1370;610;390;150;65;105;555;90;10;455;15;90;
NAT9330  ;2019JJ00;5;0;5;1525;680;410;160;115;80;210;170;10;35;0;555;
NAT9330  ;2020JJ00;0;0;0;1225;560;335;150;80;70;100;55;10;30;0;495;
NAT9334  ;2008JJ00;5;0;0;55;45;30;5;5;5;0;0;0;0;0;5;
NAT9334  ;2009JJ00;0;0;0;35;35;20;10;5;0;0;0;0;0;0;0;
NAT9334  ;2010JJ00;5;5;0;60;55;35;15;5;0;0;0;0;0;0;5;
NAT9334  ;2011JJ00;5;5;0;65;50;30;15;0;5;0;0;0;0;5;5;
NAT9334  ;2012JJ00;0;0;0;20;20;10;5;5;0;0;0;0;0;0;0;
NAT9334  ;2013JJ00;5;5;0;50;40;25;10;5;0;0;0;0;0;0;5;
NAT9334  ;2014JJ00;10;10;0;55;50;35;10;5;0;0;0;0;0;0;5;
NAT9334  ;2015JJ00;15;10;5;65;45;25;15;5;10;0;0;0;0;0;5;
NAT9334  ;2016JJ00;5;5;0;70;60;50;10;5;5;0;0;0;0;0;5;
NAT9334  ;2017JJ00;10;10;0;80;70;35;25;10;5;0;0;0;0;0;10;
NAT9334  ;2018JJ00;10;5;5;110;90;55;25;5;5;0;0;0;0;10;5;
NAT9334  ;2019JJ00;10;10;0;130;105;55;25;20;0;0;0;0;0;15;5;
NAT9334  ;2020JJ00;10;10;0;105;80;40;20;20;5;5;0;0;5;5;15;
NAT9335  ;2008JJ00;5;0;0;160;30;15;5;10;45;15;10;0;5;0;70;
NAT9335  ;2009JJ00;5;0;5;150;55;30;15;10;65;10;0;0;10;0;20;
NAT9335  ;2010JJ00;5;0;5;105;35;15;5;15;50;10;0;0;10;0;10;
NAT9335  ;2011JJ00;5;5;0;80;35;15;10;10;30;10;5;0;5;0;5;
NAT9335  ;2012JJ00;5;0;0;90;45;20;15;10;35;5;0;0;0;0;5;
NAT9335  ;2013JJ00;10;0;10;130;55;20;25;10;45;15;5;0;5;0;20;
NAT9335  ;2014JJ00;5;5;0;105;30;15;10;5;40;15;10;5;5;0;15;
NAT9335  ;2015JJ00;0;0;0;100;20;10;10;5;50;10;5;0;0;0;20;
NAT9335  ;2016JJ00;5;5;0;140;40;25;15;5;55;10;5;5;0;0;30;
NAT9335  ;2017JJ00;5;5;0;155;35;20;10;5;70;20;15;0;5;0;30;
NAT9335  ;2018JJ00;0;0;0;165;45;30;5;10;70;15;15;0;0;0;35;
NAT9335  ;2019JJ00;0;0;0;200;50;25;10;10;90;25;15;5;5;0;40;
NAT9335  ;2020JJ00;5;5;0;125;30;10;15;10;55;20;10;5;0;0;25;
NAT9336  ;2008JJ00;0;0;0;820;565;210;230;125;105;25;0;10;10;0;125;
NAT9336  ;2009JJ00;0;0;0;795;570;160;210;200;105;35;5;20;10;0;90;
NAT9336  ;2010JJ00;0;0;0;710;525;175;195;150;100;30;5;15;10;0;55;
NAT9336  ;2011JJ00;0;0;0;690;555;270;165;115;75;30;5;10;10;10;25;
NAT9336  ;2012JJ00;0;0;0;580;445;150;150;145;85;25;0;15;5;15;10;
NAT9336  ;2013JJ00;0;0;0;680;450;190;210;50;85;35;5;25;5;10;100;
NAT9336  ;2014JJ00;0;0;0;530;380;150;205;25;60;25;0;20;5;0;60;
NAT9336  ;2015JJ00;5;5;0;585;325;120;185;20;80;35;5;25;10;5;145;
NAT9336  ;2016JJ00;5;5;0;575;295;140;140;15;125;20;5;10;5;5;130;
NAT9336  ;2017JJ00;0;0;0;600;365;150;150;65;105;35;0;25;5;0;100;
NAT9336  ;2018JJ00;10;0;5;645;430;170;140;115;90;40;5;25;10;0;90;
NAT9336  ;2019JJ00;5;5;0;755;480;140;180;155;120;60;5;20;35;10;85;
NAT9336  ;2020JJ00;0;0;0;510;355;125;145;85;75;35;10;5;15;0;45;
NAT9341  ;2008JJ00;125;0;0;315;25;15;0;10;0;0;0;0;0;0;285;
NAT9341  ;2009JJ00;105;80;20;125;40;15;10;15;0;0;0;0;0;0;90;
NAT9341  ;2010JJ00;125;90;35;50;15;5;5;5;0;0;0;0;0;0;35;
NAT9341  ;2011JJ00;100;85;15;75;25;5;5;10;0;0;0;0;0;40;10;
NAT9341  ;2012JJ00;85;60;25;70;30;5;20;5;0;0;0;0;0;35;5;
NAT9341  ;2013JJ00;65;40;25;80;40;10;25;5;0;0;0;0;0;20;15;
NAT9341  ;2014JJ00;85;60;25;65;35;5;20;10;0;0;0;0;0;15;10;
NAT9341  ;2015JJ00;65;30;30;50;30;5;20;10;0;0;0;0;0;5;10;
NAT9341  ;2016JJ00;40;35;5;70;45;5;25;15;0;0;0;0;0;10;15;
NAT9341  ;2017JJ00;35;25;10;80;55;10;20;20;0;0;0;0;0;10;10;
NAT9341  ;2018JJ00;35;20;15;95;65;10;25;35;0;0;0;0;0;10;15;
NAT9341  ;2019JJ00;25;20;10;100;80;5;40;30;0;0;0;0;0;15;10;
NAT9341  ;2020JJ00;35;30;5;75;55;5;25;25;0;0;0;0;0;10;10;
NAT9343  ;2008JJ00;0;0;0;90;85;0;85;0;0;0;0;0;0;0;0;
NAT9343  ;2009JJ00;0;0;0;60;55;0;55;0;0;0;0;0;0;0;0;
NAT9343  ;2010JJ00;0;0;0;135;80;0;75;5;0;0;0;0;0;0;50;
NAT9343  ;2011JJ00;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;
NAT9343  ;2012JJ00;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;
NAT9343  ;2013JJ00;0;0;0;15;15;0;15;0;0;0;0;0;0;0;0;
NAT9343  ;2014JJ00;0;0;0;20;15;0;10;0;5;0;0;0;0;0;0;
NAT9343  ;2015JJ00;0;0;0;10;5;0;5;0;0;0;0;0;0;0;0;
NAT9343  ;2016JJ00;0;0;0;10;5;0;5;0;0;0;0;0;0;0;0;
NAT9343  ;2017JJ00;0;0;0;15;15;0;15;0;0;0;0;0;0;0;0;
NAT9343  ;2018JJ00;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;
NAT9343  ;2019JJ00;0;0;0;20;10;0;5;5;5;0;0;0;0;0;5;
NAT9343  ;2020JJ00;0;0;0;20;15;5;5;5;0;0;0;0;0;0;0;
NAT9348  ;2008JJ00;0;0;0;3815;1165;695;420;50;315;2260;2115;30;110;0;70;
NAT9348  ;2009JJ00;0;0;0;3575;1365;805;480;75;380;1790;1585;70;135;0;45;
NAT9348  ;2010JJ00;0;0;0;3870;1340;800;485;55;440;2065;1900;85;80;0;25;
NAT9348  ;2011JJ00;0;0;0;4310;1650;995;610;50;445;2190;2020;75;100;0;20;
NAT9348  ;2012JJ00;0;0;0;4285;1730;960;700;70;450;2080;1870;70;140;5;15;
NAT9348  ;2013JJ00;0;0;0;6120;2450;1375;1050;25;685;2940;2675;115;150;15;30;
NAT9348  ;2014JJ00;0;0;0;6195;2355;1280;1065;15;790;3000;2790;170;40;5;45;
NAT9348  ;2015JJ00;0;0;0;6955;2615;1460;1145;10;1095;3185;2995;140;55;10;55;
NAT9348  ;2016JJ00;0;0;0;8105;3175;1775;1390;10;995;3860;3615;170;70;0;75;
NAT9348  ;2017JJ00;0;0;0;10130;3840;2055;1760;25;1475;4730;4475;160;95;5;75;
NAT9348  ;2018JJ00;0;0;0;12085;4395;2395;1965;40;1770;5810;5410;240;160;5;100;
NAT9348  ;2019JJ00;0;0;0;13925;5815;3085;2670;55;1950;6040;5495;230;315;5;120;
NAT9348  ;2020JJ00;0;0;0;7635;3375;1675;1670;35;1285;2900;2445;205;255;0;75;
NAT9349  ;2008JJ00;0;0;0;1435;490;335;125;25;535;370;75;55;240;0;45;
NAT9349  ;2009JJ00;0;0;0;1290;450;290;140;20;540;270;45;75;150;0;35;
NAT9349  ;2010JJ00;0;0;0;1340;490;335;130;25;615;210;35;85;90;0;25;
NAT9349  ;2011JJ00;0;0;0;1400;525;370;130;25;640;210;40;95;75;0;20;
NAT9349  ;2012JJ00;0;0;0;1245;440;315;100;30;580;195;25;95;70;5;25;
NAT9349  ;2013JJ00;0;0;0;1625;570;335;215;20;740;275;50;150;70;5;35;
NAT9349  ;2014JJ00;0;0;0;1500;510;325;180;5;780;190;35;95;60;10;15;
NAT9349  ;2015JJ00;0;0;0;1700;530;320;205;5;905;220;30;145;45;0;40;
NAT9349  ;2016JJ00;0;0;0;1945;610;350;250;10;1085;205;25;135;45;0;45;
NAT9349  ;2017JJ00;0;0;0;1655;605;375;215;20;815;185;45;75;65;0;45;
NAT9349  ;2018JJ00;0;0;0;1755;615;395;175;45;890;205;40;65;95;0;50;
NAT9349  ;2019JJ00;0;0;0;1880;675;375;220;80;860;230;55;95;80;0;110;
NAT9349  ;2020JJ00;0;0;0;1360;510;300;150;60;625;145;30;70;45;0;80;
NAT9350  ;2008JJ00;2305;0;0;700;200;125;65;10;10;10;5;0;0;0;485;
NAT9350  ;2009JJ00;1895;1230;665;350;225;140;60;25;10;0;0;0;0;0;120;
NAT9350  ;2010JJ00;1445;1045;400;270;230;120;90;20;0;5;5;0;0;0;35;
NAT9350  ;2011JJ00;1400;1100;305;325;275;140;110;20;10;15;10;5;0;5;25;
NAT9350  ;2012JJ00;1260;885;375;305;260;110;115;35;5;5;0;5;0;0;35;
NAT9350  ;2013JJ00;890;385;505;460;375;85;170;120;5;10;0;5;5;0;75;
NAT9350  ;2014JJ00;645;340;300;350;250;90;120;40;5;15;5;10;0;0;85;
NAT9350  ;2015JJ00;495;265;230;255;215;75;100;40;5;5;0;0;0;0;30;
NAT9350  ;2016JJ00;1225;1040;185;290;225;85;80;60;10;10;0;0;5;0;45;
NAT9350  ;2017JJ00;1195;665;530;510;425;95;85;245;5;10;5;0;0;5;70;
NAT9350  ;2018JJ00;405;170;235;615;515;125;105;285;15;15;5;0;5;0;75;
NAT9350  ;2019JJ00;285;170;120;690;430;105;105;225;15;15;5;0;10;0;230;
NAT9350  ;2020JJ00;400;255;145;475;410;95;85;230;5;5;5;0;0;0;50;
NAT9351  ;2008JJ00;190;0;0;990;275;190;70;15;150;210;135;50;25;0;360;
NAT9351  ;2009JJ00;255;170;85;700;280;195;65;20;195;190;80;95;15;0;40;
NAT9351  ;2010JJ00;455;325;130;680;270;185;65;20;205;180;60;115;5;0;25;
NAT9351  ;2011JJ00;605;410;200;835;340;235;90;15;240;240;95;140;5;0;15;
NAT9351  ;2012JJ00;585;390;195;575;270;170;70;30;135;160;55;95;10;0;10;
NAT9351  ;2013JJ00;735;540;195;650;320;215;80;25;115;195;70;120;5;0;15;
NAT9351  ;2014JJ00;405;280;125;605;265;185;70;10;110;205;45;150;5;0;25;
NAT9351  ;2015JJ00;395;300;95;625;290;200;80;10;105;200;60;130;10;0;25;
NAT9351  ;2016JJ00;555;445;110;780;340;240;95;10;140;275;100;170;10;0;25;
NAT9351  ;2017JJ00;980;740;240;1015;425;285;120;20;185;385;100;270;15;0;20;
NAT9351  ;2018JJ00;570;365;210;1265;485;320;135;30;220;520;175;310;35;0;40;
NAT9351  ;2019JJ00;525;350;175;1470;640;410;190;45;220;545;200;285;60;0;60;
NAT9351  ;2020JJ00;540;370;170;1275;545;365;150;30;265;415;130;220;60;0;45;
NAT9352  ;2008JJ00;0;0;0;340;160;55;45;60;45;120;65;5;50;0;15;
NAT9352  ;2009JJ00;0;0;0;280;135;65;40;25;45;85;60;5;20;0;15;
NAT9352  ;2010JJ00;0;0;0;225;100;35;35;30;55;65;40;5;20;0;5;
NAT9352  ;2011JJ00;0;0;0;255;120;45;45;35;50;75;40;10;25;0;10;
NAT9352  ;2012JJ00;0;0;0;265;145;55;55;35;45;65;45;10;10;0;10;
NAT9352  ;2013JJ00;0;0;0;295;160;55;95;10;45;65;45;5;15;0;25;
NAT9352  ;2014JJ00;0;0;0;325;160;65;80;15;50;90;60;10;20;0;25;
NAT9352  ;2015JJ00;0;0;0;355;155;65;75;15;45;105;65;15;25;0;55;
NAT9352  ;2016JJ00;0;0;0;345;140;55;55;25;45;105;65;15;25;0;55;
NAT9352  ;2017JJ00;0;0;0;355;145;60;70;20;45;110;65;20;25;0;50;
NAT9352  ;2018JJ00;0;0;0;430;195;80;100;20;70;115;90;10;15;0;55;
NAT9352  ;2019JJ00;0;0;0;475;190;65;90;35;70;125;80;10;35;0;85;
NAT9352  ;2020JJ00;0;0;0;310;110;40;55;20;50;75;50;15;10;0;70;
NAT9354  ;2008JJ00;55;0;0;50;15;5;10;0;5;10;5;0;5;0;25;
NAT9354  ;2009JJ00;75;30;45;35;30;5;25;5;0;0;0;0;0;0;0;
NAT9354  ;2010JJ00;70;20;50;25;15;5;10;0;0;0;0;0;0;0;5;
NAT9354  ;2011JJ00;25;15;10;20;15;5;10;5;0;5;0;0;0;0;5;
NAT9354  ;2012JJ00;40;15;25;35;20;5;15;5;5;5;0;0;0;0;5;
NAT9354  ;2013JJ00;50;15;35;70;35;5;15;15;5;5;5;0;0;0;25;
NAT9354  ;2014JJ00;30;5;20;35;20;10;10;0;5;0;0;0;0;0;5;
NAT9354  ;2015JJ00;5;5;0;40;25;10;15;5;0;0;0;0;0;0;10;
NAT9354  ;2016JJ00;5;0;0;20;10;5;5;0;5;0;0;0;0;0;0;
NAT9354  ;2017JJ00;10;5;0;45;25;0;15;10;5;5;0;0;0;5;10;
NAT9354  ;2018JJ00;5;0;5;40;30;5;5;20;5;0;0;0;0;0;5;
NAT9354  ;2019JJ00;5;5;0;70;25;5;10;10;10;5;0;0;0;0;30;
NAT9354  ;2020JJ00;5;5;0;30;15;0;10;5;0;0;0;0;0;5;10;
NAT9356  ;2008JJ00;0;0;0;1420;690;340;320;30;130;590;315;30;245;0;10;
NAT9356  ;2009JJ00;0;0;0;1240;635;320;295;20;120;470;315;30;125;0;15;
NAT9356  ;2010JJ00;0;0;0;1110;540;255;260;20;105;450;305;50;95;0;15;
NAT9356  ;2011JJ00;0;0;0;1185;540;270;240;25;120;510;360;60;95;0;15;
NAT9356  ;2012JJ00;0;0;0;1255;540;250;260;30;145;555;410;50;95;0;15;
NAT9356  ;2013JJ00;0;0;0;1250;530;260;270;5;140;550;365;70;110;0;30;
NAT9356  ;2014JJ00;0;0;0;1240;580;255;320;0;170;460;320;55;85;0;30;
NAT9356  ;2015JJ00;0;0;0;1280;505;250;250;0;190;540;250;50;240;0;45;
NAT9356  ;2016JJ00;0;0;0;1695;665;305;355;5;265;720;285;60;370;0;40;
NAT9356  ;2017JJ00;0;0;0;1475;580;275;300;5;270;580;340;55;190;0;45;
NAT9356  ;2018JJ00;0;0;0;1575;595;280;300;10;315;625;370;70;185;0;40;
NAT9356  ;2019JJ00;0;0;0;1820;750;350;385;15;305;705;430;65;205;0;60;
NAT9356  ;2020JJ00;0;0;0;1305;595;265;320;10;120;545;355;35;160;0;40;
NAT9357  ;2008JJ00;0;0;0;50;5;5;0;0;10;5;0;0;0;0;30;
NAT9357  ;2009JJ00;10;5;5;20;10;10;0;0;5;5;0;5;0;0;0;
NAT9357  ;2010JJ00;0;0;0;20;15;10;0;5;5;0;0;0;0;0;0;
NAT9357  ;2011JJ00;10;5;5;25;15;5;5;0;10;5;0;0;0;0;0;
NAT9357  ;2012JJ00;10;5;0;35;20;5;10;0;5;15;0;0;10;0;0;
NAT9357  ;2013JJ00;10;5;5;25;10;5;5;0;5;5;0;0;0;0;5;
NAT9357  ;2014JJ00;25;5;20;20;10;5;5;0;5;0;0;0;0;0;0;
NAT9357  ;2015JJ00;30;15;15;30;15;5;10;0;5;5;0;5;0;0;0;
NAT9357  ;2016JJ00;25;5;20;35;20;10;10;5;10;5;0;5;0;0;0;
NAT9357  ;2017JJ00;230;185;50;55;30;10;15;5;20;5;0;0;0;0;0;
NAT9357  ;2018JJ00;255;130;125;45;25;10;15;5;15;5;5;0;0;0;0;
NAT9357  ;2019JJ00;645;445;205;95;65;15;35;15;15;10;5;0;5;0;5;
NAT9357  ;2020JJ00;1055;615;440;130;90;15;50;30;15;15;0;0;10;0;5;
NAT9359  ;2008JJ00;0;0;0;50;20;15;5;0;10;10;5;0;0;0;5;
NAT9359  ;2009JJ00;0;0;0;30;15;10;0;5;10;5;0;0;0;0;5;
NAT9359  ;2010JJ00;0;0;0;40;30;15;10;5;5;5;0;5;0;0;0;
NAT9359  ;2011JJ00;0;0;0;35;15;10;5;0;10;10;5;0;0;0;0;
NAT9359  ;2012JJ00;0;0;0;35;20;10;5;0;10;10;5;0;0;0;0;
NAT9359  ;2013JJ00;0;0;0;40;25;10;10;5;10;5;5;0;0;0;0;
NAT9359  ;2014JJ00;10;0;10;50;20;15;5;0;15;10;5;5;0;0;5;
NAT9359  ;2015JJ00;60;5;55;60;15;10;5;0;25;10;10;0;0;0;5;
NAT9359  ;2016JJ00;35;5;30;70;30;15;10;5;20;15;15;0;0;0;5;
NAT9359  ;2017JJ00;40;5;35;95;45;25;10;10;25;20;15;0;5;0;5;
NAT9359  ;2018JJ00;25;5;20;105;35;15;10;10;30;25;20;0;5;0;10;
NAT9359  ;2019JJ00;10;5;10;135;45;20;15;5;50;30;20;5;5;0;10;
NAT9359  ;2020JJ00;25;15;10;125;55;30;15;15;40;20;15;5;0;0;10;
NAT9360  ;2008JJ00;0;0;0;175;135;35;40;60;5;25;0;0;20;0;15;
NAT9360  ;2009JJ00;0;0;0;145;110;20;30;60;0;20;0;0;20;0;15;
NAT9360  ;2010JJ00;0;0;0;85;65;20;20;30;0;5;0;0;0;0;10;
NAT9360  ;2011JJ00;0;0;0;80;55;20;20;20;0;5;0;0;5;0;20;
NAT9360  ;2012JJ00;0;0;0;75;65;15;15;35;0;5;0;0;5;0;10;
NAT9360  ;2013JJ00;0;0;0;110;70;15;40;15;0;0;0;0;0;0;40;
NAT9360  ;2014JJ00;0;0;0;85;60;20;30;10;0;5;0;0;5;0;15;
NAT9360  ;2015JJ00;0;0;0;85;35;5;20;5;0;5;0;0;5;0;40;
NAT9360  ;2016JJ00;0;0;0;75;35;15;15;5;0;0;0;0;0;0;40;
NAT9360  ;2017JJ00;0;0;0;75;35;10;10;15;0;0;0;0;0;0;40;
NAT9360  ;2018JJ00;0;0;0;90;45;15;15;15;0;5;0;0;5;0;45;
NAT9360  ;2019JJ00;0;0;0;120;70;20;25;30;0;0;0;0;0;0;45;
