"""psraid"" ""sample"" ""segment"" ""int_date"" ""lang"" ""stz"" ""scregion"" ""sstate"" ""susr"" ""sstratum"" ""form"" ""qs1"" ""qs2a"" ""qs2b"" ""qs3"" ""q1"" ""q2a"" ""q2b"" ""q2c"" ""q4a"" ""q4b"" ""q4c"" ""q4df1"" ""q4ef2"" ""q5f1"" ""q5af1"" ""q6f2"" ""q6af2"" ""hisp"" ""race3m1"" ""race3m2"" ""race3m3"" ""race3m4"" ""q7"" ""q8"" ""q8a"" ""q10a"" ""q10b"" ""q10c"" ""q10d"" ""snsint2"" ""q13a"" ""q13b"" ""q15a"" ""q15b"" ""q16"" ""q18"" ""q19af1"" ""q19bf1"" ""q19cf1"" ""q19df1"" ""q19ef1"" ""q19ff1"" ""q19af2"" ""q19bf2"" ""q19cf2"" ""q19df2"" ""q19ef2"" ""q19ff2"" ""q20a"" ""q20b"" ""q20c"" ""q20d"" ""q20e"" ""q21a"" ""q21b"" ""q21c"" ""q22"" ""q23"" ""q24a"" ""q24bf1"" ""q24cf2"" ""q24d"" ""q24ef1"" ""q24ff2"" ""q27"" ""q30a"" ""q30b"" ""q30c"" ""q33"" ""q34"" ""q35"" ""q36"" ""q42"" ""q43a"" ""q43b"" ""q43c"" ""q43d"" ""sex"" ""age"" ""marital"" ""lwp"" ""educ2"" ""schl"" ""q100"" ""qe3"" ""birth_hisp"" ""q101"" ""relig"" ""chr"" ""born"" ""attend"" ""q102"" ""income"" ""reg"" ""party"" ""partyln"" ""ideo"" ""hh1"" ""hh3"" ""ql1"" ""ql1a"" ""qc1"" ""racethn"" ""raceos"" ""religos"" ""racecmb"" ""usr"" ""cregion"" ""state"" ""density"" ""child"" ""partysum"" ""partyideo"" ""gen5"" ""racethn2"" ""recage"" ""recage2"" ""receduc"" ""adults"" ""iphoneuse"" ""hphoneuse"" ""ll"" ""cp"" ""weight"""
"""978"" 200566 2 2 32816 2 ""C"" 2 17 """" 9 2 2 NA NA NA 1 2 1 2 2 3 3 NA 4 NA NA 2 1 1 7 NA NA NA NA 2 3 1 1 4 3 1 4 4 3 3 2 3 NA NA NA NA NA NA 3 3 3 3 3 3 9 2 2 2 2 NA NA NA 2 2 3 NA 1 1 NA 1 4 NA NA NA 3 NA NA NA 2 2 2 2 2 2 30 2 2 3 5 NA 3 1 5 12 NA NA 6 NA 2 9 3 9 2 7 5 NA NA 2 3 """" """" 5 ""U"" 2 17 5 2 9 3 5 3 2 2 1 3 3 3 0 1 0.499623237087978"
"""979"" 200567 2 2 30616 1 ""P"" 4 6 """" 10 2 2 NA NA NA 1 1 1 1 1 3 3 NA 1 NA NA 2 2 1 7 NA NA NA NA 1 1 1 4 4 1 2 NA NA 3 1 2 2 NA NA NA NA NA NA 3 3 3 1 1 3 2 2 2 2 1 NA NA NA 2 3 1 NA 1 3 NA 1 2 NA NA NA 3 NA NA NA 1 2 2 2 2 1 21 6 NA 3 5 NA 1 1 3 1 NA 2 2 NA 2 2 3 9 9 5 4 NA NA 2 3 """" """" 5 ""U"" 4 6 5 1 9 3 5 3 1 1 1 3 3 3 0 1 0.720609762834934"
"""980"" 200569 2 2 30216 1 ""C"" 3 48 """" 9 1 2 NA NA NA 2 2 1 2 1 4 4 4 NA 1 3 NA NA 1 7 NA NA NA NA 2 2 2 2 2 2 1 3 4 3 3 3 9 3 3 3 3 9 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 9 3 3 NA 3 3 NA 1 NA NA NA 3 NA NA NA 2 2 2 2 2 1 29 6 NA 6 5 NA 2 1 4 1 NA 1 3 NA 2 2 4 9 2 1 NA NA NA 2 3 """" """" 5 ""U"" 3 48 2 0 9 9 5 3 2 1 3 1 3 3 0 1 0.31673702025449"
"""981"" 200570 2 2 30216 1 ""C"" 3 47 """" 9 2 2 NA NA NA 3 2 3 3 2 3 3 NA 3 NA NA 1 NA 2 1 NA NA NA NA 1 1 1 3 3 2 2 NA NA 3 3 2 1 NA NA NA NA NA NA 3 3 2 3 3 2 1 1 1 2 2 NA NA NA 2 4 3 NA 3 3 NA 3 4 NA NA NA 3 NA NA NA 1 2 2 2 2 1 41 1 NA 3 5 NA 1 NA 3 12 NA NA 5 NA 8 1 1 NA 3 3 2 NA NA 2 1 """" """" 1 ""S"" 3 28 2 1 1 2 4 1 3 2 1 2 3 3 0 1 0.438933523242559"
"""982"" 200573 2 2 30216 2 ""C"" 3 48 """" 5 1 2 NA NA NA 1 1 1 1 4 4 4 4 NA 2 3 NA NA 1 7 NA NA NA NA 1 1 2 1 1 2 1 4 4 3 3 2 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 2 2 1 1 NA 1 2 NA 4 NA NA NA 3 NA NA NA 2 2 2 2 2 1 28 1 NA 3 5 NA 1 3 3 12 NA NA 5 NA 4 3 4 9 2 5 2 NA NA 2 3 """" """" 5 ""U"" 3 48 4 3 9 9 5 4 2 1 1 2 3 3 0 1 2.02387564528878"
"""983"" 200583 2 2 50416 1 ""P"" 4 6 """" 9 2 2 NA NA NA 2 2 1 1 1 1 1 NA 1 NA NA 1 NA 2 1 NA NA NA NA 3 5 2 2 9 2 2 NA NA 3 3 1 3 NA NA NA NA NA NA 3 3 9 3 3 3 2 2 2 2 1 NA NA NA 2 4 3 NA 1 9 NA 1 4 NA NA NA 1 2 4 3 2 2 2 2 2 2 53 1 NA 3 5 NA 3 NA 2 12 NA NA 5 NA 7 3 1 NA 3 2 2 NA NA 1 1 """" """" 1 ""S"" 4 6 1 0 1 2 3 1 4 3 1 2 2 2 1 1 0.637511146549003"
"""984"" 200585 2 2 30916 2 ""C"" 3 48 """" 10 2 2 NA NA NA 9 1 1 2 2 1 1 NA 2 NA NA 9 NA 1 1 NA NA NA NA 4 NA 1 1 4 1 2 NA NA 2 1 3 3 NA NA NA NA NA NA 3 3 3 1 3 3 2 2 2 1 2 NA NA NA 2 2 1 NA 2 2 NA 2 4 NA NA NA 3 NA NA NA 2 2 2 2 2 1 50 1 NA 1 5 NA 3 3 5 2 NA 2 3 NA 1 3 1 NA 4 3 2 NA NA 2 3 """" """" 1 ""S"" 3 48 3 1 1 2 4 4 4 3 1 2 3 3 0 1 0.63554070679873"
"""985"" 200586 2 2 30216 1 ""C"" 3 47 """" 9 1 2 NA NA NA 2 1 1 3 1 4 1 4 NA 1 3 NA NA 2 1 NA NA NA NA 1 2 4 2 4 2 1 3 4 3 3 1 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 1 2 2 1 NA NA NA 2 2 3 3 NA 3 3 NA 4 NA NA NA 3 NA NA NA 2 2 2 2 2 1 54 3 NA 3 5 NA 2 NA 5 12 NA NA 6 NA 3 1 3 9 1 2 2 NA NA 1 1 """" """" 1 ""R"" 3 37 1 0 9 3 3 1 4 3 1 2 2 2 1 1 0.281494710387651"
"""986"" 200590 2 2 30816 1 ""P"" 4 6 """" 9 1 2 NA NA NA 2 4 1 3 1 1 1 1 NA 2 2 NA NA 2 2 NA NA NA 4 2 2 1 2 1 1 2 NA NA 2 2 2 2 3 1 1 1 1 3 NA NA NA NA NA NA 2 2 2 2 1 1 1 1 2 2 2 2 NA 1 1 NA 2 4 2 3 1 2 1 3 2 2 2 2 2 1 57 3 NA 5 5 2 1 NA 4 1 NA 1 2 1 3 1 2 NA 5 1 NA NA NA 2 2 """" """" 2 ""U"" 4 6 1 0 2 5 3 2 5 3 2 1 3 3 0 1 0.130915061313417"
"""987"" 200594 2 2 30816 1 ""C"" 2 17 """" 4 2 2 NA NA NA 2 2 1 2 1 2 1 NA 2 NA NA 1 NA 2 1 NA NA NA NA 1 1 2 2 4 2 1 3 4 3 3 1 3 NA NA NA NA NA NA 2 3 3 3 3 3 2 1 2 2 2 NA NA NA 2 4 3 NA 3 2 NA 1 2 NA NA NA 2 4 4 4 2 2 2 2 2 1 51 1 NA 5 5 NA 1 NA 3 2 NA 2 2 NA 6 1 3 1 2 5 4 NA NA 1 1 """" """" 1 ""S"" 2 17 5 1 1 3 4 1 4 3 2 3 2 2 1 1 2.87545775032607"
"""988"" 200595 2 2 31116 2 ""P"" 4 6 """" 8 1 2 NA NA NA 1 2 1 2 1 1 2 4 NA 1 3 NA NA 1 1 NA NA NA NA 2 1 1 1 3 1 2 NA NA 3 2 2 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 1 2 2 1 NA NA NA 2 1 3 1 NA 1 2 NA 4 NA NA NA 3 NA NA NA 1 2 2 2 2 1 41 1 NA 3 5 NA 1 3 3 2 NA 1 2 NA 2 3 3 9 2 6 4 NA NA 1 3 """" """" 1 ""U"" 4 6 5 2 9 3 4 4 3 2 1 3 2 2 1 1 1.45248349008989"
"""989"" 200606 2 2 30216 1 ""P"" 4 32 """" 7 2 2 NA NA NA 2 2 1 4 2 2 2 NA 4 NA NA 1 NA 2 9 NA NA NA NA 2 2 4 9 4 2 2 NA NA 3 9 1 9 NA NA NA NA NA NA 3 3 3 3 3 3 2 2 2 2 1 NA NA NA 2 4 2 NA 1 1 NA 1 2 NA NA NA 2 1 4 4 1 2 2 2 2 1 70 1 NA 8 NA NA 2 NA 3 9 NA NA 6 NA 99 1 3 9 9 2 2 NA NA 1 9 """" """" 9 ""U"" 4 32 2 0 9 3 3 9 6 4 3 2 2 2 1 1 0.380865959244212"
"""990"" 200607 2 2 30516 2 ""P"" 4 6 """" 10 1 2 NA NA NA 1 1 2 1 2 4 4 4 NA 2 1 NA NA 1 1 NA NA NA NA 4 NA 1 4 1 2 2 NA NA 3 3 3 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 1 2 3 1 NA 1 3 NA 4 NA NA NA 3 NA NA NA 9 2 2 2 2 1 61 2 2 1 5 NA 3 3 5 2 NA 2 2 NA 2 3 3 2 5 4 2 NA NA 2 3 """" """" 1 ""U"" 4 6 5 2 2 3 3 4 5 3 1 2 3 3 0 1 0.525744433267119"
"""991"" 200615 2 2 30216 1 ""P"" 4 32 """" 3 2 2 NA NA NA 2 1 1 2 3 3 2 NA 3 NA NA 3 NA 1 1 NA NA NA NA 3 1 3 9 9 9 1 4 4 3 3 1 2 NA NA NA NA NA NA 1 9 9 1 9 1 2 2 2 2 2 NA NA NA 1 1 2 NA 2 1 NA 1 2 NA NA NA 1 1 5 9 2 2 2 2 2 1 26 1 NA 3 5 NA 2 1 5 1 NA 2 3 NA 3 3 4 9 9 2 2 NA NA 2 3 """" """" 1 ""U"" 4 32 3 0 9 9 5 3 2 1 1 2 3 3 0 1 2.49"
"""992"" 200623 2 2 30216 1 ""P"" 4 6 """" 10 2 2 NA NA NA 2 2 1 3 2 4 4 NA 4 NA NA 9 NA 2 5 NA NA NA NA 1 1 3 3 4 4 1 4 4 3 3 1 9 NA NA NA NA NA NA 9 9 3 9 9 9 2 2 2 2 1 NA NA NA 9 9 9 NA 9 1 NA 9 1 NA NA NA 9 NA NA NA 9 2 2 2 2 1 74 3 NA 3 NA NA 3 NA 3 99 9 NA 9 NA 5 1 2 NA 9 3 2 NA NA 2 4 """" """" 5 ""S"" 4 6 5 1 2 9 2 5 6 4 1 2 3 3 0 1 0.63357807077554"
"""993"" 200624 2 2 31316 2 ""P"" 4 6 """" 10 1 2 NA NA NA 3 3 3 4 1 1 1 1 NA 2 2 NA NA 1 7 NA NA NA NA 1 1 2 1 2 2 1 2 4 3 3 2 1 1 1 1 1 1 1 NA NA NA NA NA NA 1 1 1 1 2 NA NA NA 2 2 1 1 NA 1 1 NA 1 NA NA NA 3 NA NA NA 2 1 1 1 1 1 40 1 NA 3 5 NA 1 3 5 2 NA 2 1 NA 99 3 2 NA 3 5 2 NA NA 2 3 """" """" 5 ""U"" 4 6 5 3 2 4 4 4 3 2 1 2 3 3 0 1 0.571369549137708"
"""994"" 200625 2 2 30316 1 ""P"" 4 53 """" 4 2 2 NA NA NA 1 1 1 1 1 1 1 NA 1 NA NA 2 1 2 1 NA NA NA NA 2 1 1 1 2 1 1 1 2 2 2 2 2 NA NA NA NA NA NA 1 1 1 1 1 1 2 2 2 2 1 NA NA NA 3 1 1 NA 1 3 NA 2 4 NA NA NA 1 1 1 2 3 2 2 2 2 1 31 1 NA 6 5 NA 1 NA 1 9 NA NA 4 NA 9 1 2 NA 5 3 2 NA NA 2 1 """" """" 1 ""U"" 4 53 4 1 2 5 5 1 2 2 3 2 3 3 0 1 2.28975246685777"
"""995"" 200628 2 2 30216 1 ""P"" 4 32 """" 7 2 2 NA NA NA 2 2 2 2 1 1 1 NA 2 NA NA 3 NA 2 1 NA NA NA NA 1 1 1 9 3 1 1 3 4 3 3 1 3 NA NA NA NA NA NA 3 3 3 3 1 3 2 2 2 2 1 NA NA NA 3 1 3 NA 1 1 NA 3 4 NA NA NA 2 3 9 9 2 2 2 2 2 2 54 1 NA 3 5 NA 3 NA 3 99 1 2 6 NA 7 3 4 9 9 2 2 NA NA 2 1 """" """" 1 ""S"" 4 32 2 0 9 9 3 1 4 3 1 2 3 3 0 1 2.45694952077771"
"""996"" 200629 2 2 31416 1 ""P"" 4 41 """" 4 2 2 NA NA NA 2 2 1 1 1 2 1 NA 2 NA NA 1 NA 2 1 NA NA NA NA 2 1 2 2 2 1 1 3 3 2 1 3 3 NA NA NA NA NA NA 3 3 9 3 3 3 2 2 2 2 1 NA NA NA 2 9 2 NA 1 2 NA 1 2 NA NA NA 1 2 2 3 2 2 2 2 2 2 36 1 NA 8 5 NA 1 NA 2 1 NA 1 2 NA 7 1 3 1 3 3 2 NA NA 1 1 """" """" 1 ""S"" 4 41 3 1 1 3 4 1 3 2 3 2 2 2 1 1 2.67555146660106"
"""997"" 200635 2 2 30316 1 ""E"" 3 12 """" 6 1 2 NA NA NA 3 2 1 4 2 4 4 3 NA 1 3 NA NA 2 1 NA NA NA NA 1 1 2 3 2 2 2 NA NA 3 1 3 3 1 3 3 3 3 3 NA NA NA NA NA NA 2 1 2 2 1 NA NA NA 3 4 1 2 NA 3 3 NA 4 NA NA NA 3 NA NA NA 2 2 2 2 2 2 59 2 1 3 5 NA 3 NA 4 1 NA 1 2 NA 2 2 3 1 3 4 2 NA NA 1 1 """" """" 1 ""R"" 3 12 1 2 1 3 3 1 5 3 1 2 2 2 1 1 2.51035495482292"
"""998"" 200636 2 2 30316 1 ""E"" 3 12 """" 8 1 2 NA NA NA 2 1 1 1 2 4 1 4 NA 1 1 NA NA 2 1 NA NA NA NA 1 1 4 1 3 1 2 NA NA 2 2 1 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 1 3 3 NA 3 3 NA 4 NA NA NA 3 NA NA NA 2 2 2 2 2 1 50 1 NA 6 5 NA 1 NA 3 1 NA 1 4 NA 7 1 1 NA 4 5 4 NA NA 2 1 """" """" 1 ""S"" 3 12 3 1 1 2 4 1 4 3 3 3 3 3 0 1 0.876408257327255"
"""999"" 200642 2 2 30316 2 ""E"" 1 36 """" 10 1 2 NA NA NA 1 1 2 1 4 4 4 4 NA 1 1 NA NA 1 7 NA NA NA NA 1 2 1 1 1 1 1 3 4 3 3 2 3 3 3 9 1 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 1 2 1 1 NA 1 1 NA 4 NA NA NA 3 NA NA NA 2 2 2 2 2 1 46 3 NA 3 5 NA 1 3 3 2 NA 2 2 NA 6 3 3 2 1 3 3 NA NA 1 3 """" """" 5 ""U"" 1 36 5 0 2 3 4 4 4 2 1 3 2 2 1 1 0.592098165837766"
"""1000"" 200643 2 2 30316 1 ""E"" 3 13 """" 9 1 2 NA NA NA 1 3 1 2 1 1 1 2 NA 9 3 NA NA 9 2 NA NA NA 1 1 5 1 1 2 1 2 NA NA 3 3 1 2 1 9 1 1 1 1 NA NA NA NA NA NA 2 2 2 1 1 1 1 1 1 1 1 1 NA 2 2 NA 2 2 2 1 2 1 5 2 2 1 1 1 3 1 74 3 NA 3 NA NA 5 NA 4 1 NA 1 1 2 1 1 2 NA 4 1 NA NA NA 2 2 """" """" 2 ""U"" 3 13 3 0 2 5 2 2 6 4 1 1 3 3 0 1 0.177298766053862"
"""1001"" 200644 2 2 30516 1 ""E"" 1 36 """" 10 1 2 NA NA NA 1 4 3 4 1 1 1 1 NA 1 3 NA NA 1 7 NA NA NA NA 1 2 2 1 1 2 2 NA NA 1 1 2 2 1 1 1 1 1 1 NA NA NA NA NA NA 2 1 2 1 2 NA NA NA 2 1 1 1 NA 1 1 NA 2 NA NA NA 3 NA NA NA 2 2 1 1 1 2 57 5 NA 5 5 NA 4 1 4 2 NA 2 4 NA 1 1 2 NA 4 1 NA NA NA 2 3 """" """" 5 ""U"" 1 36 5 0 2 5 3 3 5 3 2 1 3 3 0 1 0.804657913955711"
"""1002"" 200647 2 2 30316 1 ""E"" 3 37 """" 6 2 2 NA NA NA 2 3 1 3 1 1 1 NA 2 NA NA 1 NA 2 1 NA NA NA NA 1 1 2 2 4 2 1 2 4 3 1 1 3 NA NA NA NA NA NA 3 3 3 3 3 3 1 1 1 2 1 NA NA NA 2 4 2 NA 3 3 NA 3 2 NA NA NA 1 4 4 3 2 2 1 2 1 2 30 1 NA 4 5 NA 2 NA 4 10 NA NA 6 NA 4 1 1 NA 2 6 3 NA NA 1 1 """" """" 1 ""R"" 3 51 2 3 1 1 5 1 2 2 2 3 2 2 1 1 2.44927053133245"
"""1003"" 200652 2 2 30316 1 ""C"" 3 48 """" 10 1 2 NA NA NA 2 3 1 3 1 1 1 2 NA 1 1 NA NA 2 1 NA NA NA NA 3 2 2 2 2 1 1 4 4 2 2 3 2 1 3 1 1 1 3 NA NA NA NA NA NA 2 1 1 2 1 NA NA NA 1 1 1 1 NA 3 2 NA 2 NA NA NA 1 1 2 2 1 2 1 2 2 1 30 2 2 3 5 NA 1 NA 4 11 2 NA 4 NA 5 3 3 2 4 2 2 NA NA 2 1 """" ""BAHA'I"" 1 ""U"" 3 48 3 0 2 3 5 1 2 2 1 2 3 3 0 1 0.519725602093394"
"""1004"" 200656 2 2 30316 1 ""C"" 3 40 """" 3 2 2 NA NA NA 2 3 1 4 2 1 1 NA 2 NA NA 1 NA 2 1 NA NA NA NA 1 2 2 2 4 2 1 1 2 2 1 3 3 NA NA NA NA NA NA 3 1 3 1 1 3 1 1 2 1 2 NA NA NA 1 3 1 NA 1 3 NA 1 1 NA NA NA 2 4 3 2 2 2 1 1 1 1 20 2 2 2 5 NA 3 NA 5 12 NA NA 4 NA 3 3 4 9 9 5 4 NA NA 2 1 """" """" 1 ""R"" 3 40 1 1 9 9 5 1 1 1 1 3 3 3 0 1 2.58609937094338"
"""1005"" 200662 2 2 31816 2 ""E"" 1 9 """" 6 1 2 NA NA NA 1 1 1 3 2 2 2 3 NA 2 3 NA NA 1 1 NA NA NA NA 2 1 1 1 2 1 1 3 3 3 2 3 2 3 1 1 1 1 3 NA NA NA NA NA NA 1 2 2 2 2 NA NA NA 1 2 1 2 NA 1 1 NA 2 NA NA NA 3 NA NA NA 2 2 2 1 2 2 59 1 NA 3 5 NA 3 3 3 2 NA 2 4 NA 4 3 3 2 3 5 2 NA NA 1 3 """" """" 1 ""U"" 1 9 4 3 2 3 3 4 5 3 1 2 2 2 1 1 1.98216165140037"
"""1006"" 200671 2 2 30316 1 ""C"" 3 47 """" 9 1 2 NA NA NA 2 4 1 2 1 1 1 1 NA 2 2 NA NA 2 1 NA NA NA NA 2 1 2 3 4 2 1 2 3 3 3 1 1 2 3 3 3 3 3 NA NA NA NA NA NA 2 1 2 2 1 NA NA NA 2 4 2 3 NA 1 1 NA 2 NA NA NA 1 1 4 4 2 2 2 1 2 2 49 1 NA 3 5 NA 2 NA 5 1 NA 2 5 NA 2 1 1 NA 2 3 3 NA NA 1 1 """" """" 1 ""S"" 3 47 1 0 1 1 4 1 4 2 1 3 2 2 1 1 0.583508033032591"
"""1007"" 200675 2 2 30316 1 ""C"" 3 48 """" 9 2 2 NA NA NA 2 2 2 2 1 4 2 NA 2 NA NA 2 1 2 3 NA NA NA NA 2 2 1 1 2 1 1 2 4 1 3 2 2 NA NA NA NA NA NA 1 1 1 1 1 3 1 2 2 2 2 NA NA NA 1 1 1 NA 2 3 NA 2 2 NA NA NA 1 2 2 2 2 2 1 2 2 1 40 6 NA 6 5 NA 3 NA 2 8 NA NA 4 NA 9 1 2 NA 4 1 NA NA NA 1 4 """" """" 3 ""U"" 3 48 3 0 2 5 4 5 3 2 3 1 2 2 1 1 0.2"
"""1008"" 200683 2 2 30316 1 ""C"" 2 17 """" 4 1 2 NA NA NA 2 1 1 3 1 2 1 1 NA 2 3 NA NA 2 2 NA NA NA 1 1 2 4 2 1 1 1 2 2 1 1 2 2 1 3 1 1 1 3 NA NA NA NA NA NA 2 2 2 2 1 2 1 1 2 2 1 1 NA 3 2 NA 1 4 3 4 1 1 1 1 1 1 1 1 2 1 57 1 NA 6 5 2 3 NA 2 1 NA 1 3 1 8 1 3 2 3 7 4 NA NA 1 2 """" """" 2 ""S"" 2 17 3 3 2 3 3 2 5 3 3 3 2 2 1 1 0.520469837751003"
"""1009"" 200685 2 2 31316 1 ""C"" 3 48 """" 9 1 2 NA NA NA 2 1 1 2 2 4 1 4 NA 1 3 NA NA 2 1 NA NA NA NA 1 1 2 2 1 1 2 NA NA 3 3 2 3 3 3 1 1 1 3 NA NA NA NA NA NA 2 1 2 1 2 NA NA NA 2 2 1 2 NA 3 1 NA 4 NA NA NA 2 1 1 1 2 1 2 2 2 1 42 4 NA 3 5 NA 3 NA 4 1 NA 1 4 NA 2 3 3 2 2 1 NA NA NA 2 1 """" """" 1 ""U"" 3 48 2 0 2 3 4 1 3 2 1 1 3 3 0 1 0.445493046118999"
"""1010"" 200691 2 2 31016 1 ""P"" 4 6 """" 7 2 2 NA NA NA 2 2 1 2 3 3 3 NA 3 NA NA 9 NA 1 7 NA NA NA NA 1 1 1 1 1 1 1 2 2 1 3 3 2 NA NA NA NA NA NA 3 3 1 3 1 3 2 2 2 2 2 NA NA NA 2 2 1 NA 9 1 NA 1 2 NA NA NA 1 2 1 1 2 2 1 1 2 1 18 6 NA 4 3 NA 2 1 4 12 NA NA 6 NA 2 3 2 NA 3 6 2 NA NA 2 3 """" """" 5 ""S"" 4 6 3 4 2 4 5 3 1 1 2 2 3 3 0 1 2.49"
"""1011"" 200695 2 2 30316 1 ""C"" 3 1 """" 8 2 2 NA NA NA 1 1 1 1 2 4 1 NA 4 NA NA 1 NA 2 1 NA NA NA NA 1 1 1 2 4 1 1 3 4 2 2 1 3 NA NA NA NA NA NA 3 3 3 1 3 3 1 2 2 2 2 NA NA NA 4 3 2 NA 3 1 NA 1 4 NA NA NA 1 1 2 3 4 2 2 2 2 1 38 1 NA 8 5 NA 1 NA 3 1 NA 1 2 NA 6 2 3 1 1 3 2 NA NA 2 1 """" """" 1 ""S"" 3 1 2 1 1 3 4 1 3 2 3 2 3 3 0 1 0.704840849492833"
"""1012"" 200699 2 2 30316 1 ""C"" 2 17 """" 9 2 2 NA NA NA 2 1 1 3 1 1 1 NA 2 NA NA 1 NA 2 1 NA NA NA NA 2 2 2 2 3 9 1 3 4 3 1 1 9 NA NA NA NA NA NA 3 3 3 3 3 3 2 1 2 2 2 NA NA NA 2 4 9 NA 1 9 NA 1 4 NA NA NA 1 2 4 4 2 2 2 2 2 1 49 1 NA 6 5 NA 3 NA 4 2 NA 2 6 NA 6 1 3 1 3 4 2 NA NA 2 1 """" """" 1 ""S"" 2 17 5 2 1 3 4 1 4 2 3 2 3 3 0 1 0.369088657154973"
"""1013"" 200700 2 2 50416 1 ""C"" 3 40 """" 2 2 2 NA NA NA 2 1 9 1 2 3 2 NA 3 NA NA 1 NA 2 1 NA NA NA NA 2 5 2 2 2 2 1 4 4 2 3 1 3 NA NA NA NA NA NA 3 3 3 3 3 3 2 2 2 2 2 NA NA NA 1 4 2 NA 2 1 NA 1 4 NA NA NA 2 2 4 3 2 2 2 2 2 1 70 1 NA 8 NA NA 2 NA 3 1 NA 1 1 NA 7 1 1 NA 2 2 2 NA NA 1 1 """" """" 1 ""U"" 3 40 4 0 1 1 3 1 6 4 3 2 2 2 1 1 0.913875966500284"
"""1014"" 200701 2 2 30316 1 ""M"" 4 30 """" 1 1 2 NA NA NA 3 3 1 2 1 2 1 1 NA 2 2 NA NA 2 1 NA NA NA NA 3 1 2 4 4 9 1 3 3 2 3 1 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 2 4 3 1 NA 1 1 NA 4 NA NA NA 3 NA NA NA 2 2 2 2 2 1 60 1 NA 6 5 NA 1 NA 2 1 NA 1 2 NA 9 1 1 NA 2 3 3 NA NA 1 1 """" """" 1 ""R"" 4 30 1 0 1 1 3 1 5 3 3 3 2 2 1 1 1.0707067105853"
"""1015"" 200706 2 2 30316 1 ""P"" 4 6 """" 10 2 2 NA NA NA 1 1 1 1 2 2 1 NA 2 NA NA 2 1 2 1 NA NA NA NA 2 1 2 3 3 2 1 2 4 2 2 2 2 NA NA NA NA NA NA 1 1 1 1 1 3 2 2 2 2 1 NA NA NA 2 2 1 NA 1 3 NA 2 4 NA NA NA 1 1 2 3 2 2 2 2 2 1 55 1 NA 6 5 NA 1 NA 2 12 NA NA 6 NA 9 1 3 2 3 4 2 NA NA 1 1 """" """" 1 ""U"" 4 6 5 2 2 3 3 1 5 3 3 2 2 2 1 1 0.2"
"""1016"" 200709 2 2 30316 2 ""E"" 3 12 """" 10 2 2 NA NA NA 3 4 1 4 2 2 2 NA 2 NA NA 2 1 1 7 NA NA NA NA 4 NA 1 1 1 1 2 NA NA 3 3 2 9 NA NA NA NA NA NA 3 3 9 1 3 3 2 2 2 2 2 NA NA NA 4 2 1 NA 1 9 NA 1 2 NA NA NA 3 NA NA NA 2 2 2 2 2 2 47 1 NA 3 5 NA 3 3 5 2 NA 2 4 NA 3 3 4 9 4 3 2 NA NA 1 3 """" """" 5 ""S"" 3 12 4 1 9 9 4 4 4 2 1 2 2 2 1 1 0.235534654849828"
"""1017"" 200712 2 2 30316 1 ""E"" 2 18 """" 1 1 2 NA NA NA 2 2 1 3 3 3 1 3 NA 9 2 NA NA 2 1 NA NA NA NA 3 2 9 3 3 9 2 NA NA 3 3 1 3 3 3 3 2 2 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 3 4 3 3 NA 3 3 NA 4 NA NA NA 1 2 4 3 3 2 2 2 2 1 82 1 NA 4 NA NA 5 NA 3 1 NA 2 4 NA 99 1 5 1 1 2 2 NA NA 9 1 """" """" 1 ""R"" 2 18 1 0 1 9 2 1 6 4 2 2 3 3 0 1 1.82418784198214"
"""1018"" 200713 2 2 30316 1 ""C"" 3 47 """" 7 2 2 NA NA NA 1 1 1 2 4 4 4 NA 2 NA NA 2 2 1 7 NA NA NA NA 1 1 2 2 3 2 1 2 2 3 1 2 2 NA NA NA NA NA NA 3 3 1 1 1 3 1 1 1 1 2 NA NA NA 2 2 1 NA 2 2 NA 1 2 NA NA NA 1 3 1 2 2 2 1 2 1 2 20 6 NA 3 5 NA 1 1 5 9 NA NA 6 NA 2 3 3 2 5 3 2 NA NA 2 3 """" """" 5 ""U"" 3 47 4 1 2 3 5 3 1 1 1 2 3 3 0 1 1.33234036369594"
